title,page,organization_name,last_modified,created_at,metrics_views,metrics_resources_downloads,metrics_discussions
Nombre d'enfants ayant fait l'objet d'un signalement dans le département du Finistère,https://www.data.gouv.fr/datasets/nombre-denfants-ayant-fait-lobjet-dun-signalement-dans-le-departement-du-finistere/,Conseil départemental du Finistère,2025-01-03,2018-11-27,3133,1634,0
Paris 2024 - Zones de dépose reprise PFR-PSH,https://www.data.gouv.fr/datasets/paris-2024-zones-de-depose-reprise-pfr-psh/,Paris 2024,2024-10-01,2024-10-01,3122,7346,0
Nombre d'électeurs par bureau de vote,https://www.data.gouv.fr/datasets/nombre-delecteurs-par-bureau-de-vote/,Ville de Quiberon,2019-10-14,2019-10-14,3108,8278,0
Equipements collectifs publics du Conseil départemental de la Mayenne,https://www.data.gouv.fr/datasets/equipements-collectifs-publics-du-conseil-departemental-de-la-mayenne/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,3078,7303,0
Zones PLU France,https://www.data.gouv.fr/datasets/zones-plu-france/,,2024-10-22,2024-10-22,3061,2221,0
Routes barrées en Mayenne,https://www.data.gouv.fr/datasets/routes-barrees-en-mayenne/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,3024,6738,0
"Nombre d’enfants ayant fait l’objet d’une Aide Éducative à Domicile, dans le Finistère",https://www.data.gouv.fr/datasets/nombre-denfants-ayant-fait-lobjet-dune-aide-educative-a-domicile-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,3008,741,0
Synthèse des Recettes et des Dépenses du Budget Primitif en 2019,https://www.data.gouv.fr/datasets/synthese-des-recettes-et-des-depenses-du-budget-primitif-en-2019/,Conseil départemental du Finistère,2025-01-03,2019-07-05,3000,1078,0
Nombre de bénéficiaires du Fonds de Solidarité Logement (FSL) par commune depuis 2018,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-du-fonds-de-solidarite-logement-fsl-par-commune-depuis-2018/,Conseil départemental du Finistère,2025-01-03,2020-09-26,2991,1165,0
Subventions de la Ville de Bourges de 2021 à 2024,https://www.data.gouv.fr/datasets/subventions-de-la-ville-de-bourges-de-2021-a-2024/,Communauté d'Agglomération de Bourges,2025-04-04,2022-02-07,2989,4782,0
"Bénéficiaires du revenu de solidarité active (RSA) par EPCI du département du Finistère, titulaires d'un droit",https://www.data.gouv.fr/datasets/beneficiaires-du-revenu-de-solidarite-active-rsa-par-epci-du-departement-du-finistere-titulaires-dun-droit/,Conseil départemental du Finistère,2024-09-30,2018-11-27,2978,1243,0
Évolution du nombre d’assistant·e·s maternel·le·s par EPCI dans le Finistère,https://www.data.gouv.fr/datasets/evolution-du-nombre-dassistant-e-s-maternel-le-s-par-epci-dans-le-finistere/,Conseil départemental du Finistère,2024-12-20,2020-12-09,2969,1473,0
Paris 2024 - FAQ,https://www.data.gouv.fr/datasets/paris-2024-faq/,Paris 2024,2023-12-08,2023-12-08,2969,3803,0
DVF 2022 format parquet,https://www.data.gouv.fr/datasets/dvf-2022-format-parquet/,icem7,2023-11-08,2023-11-08,2967,951,0
Hackaviz Numérique Responsable - Enquête Usages & Réemploi,https://www.data.gouv.fr/datasets/hackaviz-numerique-responsable-enquete-usages-reemploi/,Conseil départemental du Finistère,2024-12-31,2023-06-13,2955,748,0
Fréquentation annuelle du Musée départemental breton,https://www.data.gouv.fr/datasets/frequentation-annuelle-du-musee-departemental-breton/,Conseil départemental du Finistère,2024-12-19,2018-11-27,2953,850,0
Nombre de bénéficiaires des prestations Personnes Âgées versées par le Conseil Départemental du Finistère,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-des-prestations-personnes-agees-versees-par-le-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2947,1317,0
"Revenus, pauvreté et niveau de vie en 2019 - Données carroyées  - Dispositif Fichier localisé social et fiscal (Filosofi)",https://www.data.gouv.fr/datasets/revenus-pauvrete-et-niveau-de-vie-en-2019-donnees-carroyees-dispositif-fichier-localise-social-et-fiscal-filosofi/,,2024-10-03,2024-10-02,2946,265,0
Nombre de foyers ayant bénéficié d’une allocation mensuelle enfance dans le Finistère,https://www.data.gouv.fr/datasets/nombre-de-foyers-ayant-beneficie-dune-allocation-mensuelle-enfance-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2927,780,0
Liste des ouvrages d'art du département du Finistère,https://www.data.gouv.fr/datasets/liste-des-ouvrages-dart-du-departement-du-finistere/,Conseil départemental du Finistère,2025-01-02,2018-11-27,2926,1188,0
Signalements de nids de frelons – Ville de Lorient,https://www.data.gouv.fr/datasets/signalements-de-nids-de-frelons-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,2915,5430,0
Catalogue Open data 53,https://www.data.gouv.fr/datasets/catalogue-open-data-53/,Le Conseil Départemental de la Mayenne,2023-01-18,2023-07-17,2901,6166,0
"Communes, cantons et Epci 2025 - Admin Express COG PLUS IGN",https://www.data.gouv.fr/datasets/communes-cantons-et-epci-2025-admin-express-cog-plus-ign/,icem7,2025-06-26,2025-06-24,2859,6443,0
Bénéficiaires du Fonds social européen du Finistère,https://www.data.gouv.fr/datasets/beneficiaires-du-fonds-social-europeen-du-finistere/,Conseil départemental du Finistère,2024-09-30,2020-12-09,2849,1599,0
Liste des actions métiers du NUMERIQUE sur le territoire du Morbihan,https://www.data.gouv.fr/datasets/liste-des-actions-metiers-du-numerique-sur-le-territoire-du-morbihan/,Morbihan énergies,2023-03-29,2023-03-29,2845,4986,0
Subventions - Ville de Lorient,https://www.data.gouv.fr/datasets/subventions-ville-de-lorient/,Ville de Lorient,2025-07-31,2025-07-31,2844,4600,0
Maisons d'assistants maternels (MAM) du Finistère,https://www.data.gouv.fr/datasets/maisons-dassistants-maternels-mam-du-finistere/,Conseil départemental du Finistère,2025-01-02,2023-06-30,2835,1228,0
Contours IRIS - 2015 - Morbihan,https://www.data.gouv.fr/datasets/contours-iris-2015-morbihan/,Morbihan énergies,2018-10-19,2018-10-19,2832,5204,0
Terrasses autorisées sur l'espace public - Ville de Lorient,https://www.data.gouv.fr/datasets/terrasses-autorisees-sur-lespace-public-ville-de-lorient/,Ville de Lorient,2020-07-09,2020-07-09,2832,9678,0
Voitures par énergie et par commune,https://www.data.gouv.fr/datasets/voitures-par-energie-et-par-commune/,icem7,2024-02-13,2024-02-13,2818,469,0
Compar:IA,https://www.data.gouv.fr/datasets/compar-ia/,Ministère de la Culture,2025-08-18,2025-03-27,2812,1400,0
Taux d’évaluation des situations familiales réalisées par le Conseil départemental du Finistère suite à une information préoccupante,https://www.data.gouv.fr/datasets/taux-devaluation-des-situations-familiales-realisees-par-le-conseil-departemental-du-finistere-suite-a-une-information-preoccupante/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2801,1199,0
Bénéficiaires de l’aide à la formation au BAFA octroyée par le Conseil départemental du Finistère,https://www.data.gouv.fr/datasets/beneficiaires-de-laide-a-la-formation-au-bafa-octroyee-par-le-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2024-09-30,2020-04-29,2797,2281,0
Liste des actions métiers EQUIPEMENTS & RESEAUX sur le territoire du Morbihan,https://www.data.gouv.fr/datasets/liste-des-actions-metiers-equipements-reseaux-sur-le-territoire-du-morbihan/,Morbihan énergies,2023-03-29,2023-03-29,2795,4872,0
Paris 2024 - Boutiques officielles,https://www.data.gouv.fr/datasets/paris-2024-boutiques-officielles/,Paris 2024,2024-06-27,2024-06-27,2789,5945,0
Tarification de l'assainissement dans le Finistère,https://www.data.gouv.fr/datasets/tarification-de-lassainissement-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2018-11-27,2771,2431,0
Aide alimentaire en Finistère,https://www.data.gouv.fr/datasets/aide-alimentaire-en-finistere/,Conseil départemental du Finistère,2024-09-26,2021-05-27,2766,6454,0
Porteurs de projets financés par le Fonds Départemental d'Aide à l'Initiative des Jeunes (FDAIJ) du Conseil départemental du Finistère,https://www.data.gouv.fr/datasets/porteurs-de-projets-finances-par-le-fonds-departemental-daide-a-linitiative-des-jeunes-fdaij-du-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2025-01-03,2020-04-29,2671,2050,0
Paris 2024 - Parkings vélo spectateurs en IDF,https://www.data.gouv.fr/datasets/paris-2024-parkings-velo-spectateurs-en-idf/,Paris 2024,2024-06-20,2024-06-20,2668,7267,0
Nombre d’enfants ayant fait l’objet d’une AEMO/AEMOR dans le Finistère,https://www.data.gouv.fr/datasets/nombre-denfants-ayant-fait-lobjet-dune-aemo-aemor-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2646,1652,0
Filaire de voies Strasbourg format parquet,https://www.data.gouv.fr/datasets/filaire-de-voies-strasbourg-format-parquet/,icem7,2024-03-03,2024-03-03,2629,467,0
NAF révision 2 format parquet,https://www.data.gouv.fr/datasets/naf-revision-2-format-parquet/,icem7,2024-01-07,2023-11-23,2620,450,0
CATALOGUE DU HACKATHON DATA du 28 Novembre 2023,https://www.data.gouv.fr/datasets/catalogue-du-hackathon-data-du-28-novembre-2023/,Le Conseil Départemental de la Mayenne,2023-12-04,2023-12-04,2606,3225,0
Liste des actions métiers MOBILITES DURABLES sur le territoire du Morbihan,https://www.data.gouv.fr/datasets/liste-des-actions-metiers-mobilites-durables-sur-le-territoire-du-morbihan/,Morbihan énergies,2023-03-29,2023-03-29,2558,5989,0
Accompagnement social alimentaire en Finistère,https://www.data.gouv.fr/datasets/accompagnement-social-alimentaire-en-finistere/,Conseil départemental du Finistère,2024-09-26,2021-05-27,2553,1139,0
Liste des marchés publics passés en 2018 par le département du Finistère,https://www.data.gouv.fr/datasets/liste-des-marches-publics-passes-en-2018-par-le-departement-du-finistere/,Conseil départemental du Finistère,2025-01-02,2018-11-27,2553,973,0
Toilettes publiques Quiberon,https://www.data.gouv.fr/datasets/toilettes-publiques-quiberon/,Ville de Quiberon,2020-12-15,2020-12-15,2544,3049,0
Paris 2024 - Calendrier des sessions [Version simplifiée],https://www.data.gouv.fr/datasets/paris-2024-calendrier-des-sessions-version-simplifiee/,Paris 2024,2024-07-30,2024-07-30,2540,5748,0
Hackaviz Numérique Responsable - Datavisualisations,https://www.data.gouv.fr/datasets/hackaviz-numerique-responsable-datavisualisations/,Conseil départemental du Finistère,2024-12-31,2023-06-13,2534,596,0
Nombre de mineurs ayant fait l'objet d'un placement à l'aide sociale à l'enfance dans le département du Finistère,https://www.data.gouv.fr/datasets/nombre-de-mineurs-ayant-fait-lobjet-dun-placement-a-laide-sociale-a-lenfance-dans-le-departement-du-finistere/,Conseil départemental du Finistère,2025-01-03,2018-11-27,2484,1911,0
Limitations de tonnage sur les routes départementales,https://www.data.gouv.fr/datasets/limitations-de-tonnage-sur-les-routes-departementales/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,2483,2279,0
Évolution de la capacité totale d’accueil Petite Enfance par EPCI (hors ASE) dans le Finistère,https://www.data.gouv.fr/datasets/evolution-de-la-capacite-totale-daccueil-petite-enfance-par-epci-hors-ase-dans-le-finistere/,Conseil départemental du Finistère,2024-12-20,2020-12-09,2482,1686,0
Resultats Election Législative 1er Tour - 2022 - Ville de Bourges - 1ere Circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-1er-tour-2022-ville-de-bourges-1ere-circonscription/,Communauté d'Agglomération de Bourges,2022-06-13,2022-06-12,2482,4211,0
Liste des collections acquises par le Musée départemental breton,https://www.data.gouv.fr/datasets/liste-des-collections-acquises-par-le-musee-departemental-breton/,Conseil départemental du Finistère,2024-12-31,2018-11-27,2477,1626,0
Liste des actions métiers ENERGIES sur le territoire du Morbihan,https://www.data.gouv.fr/datasets/liste-des-actions-metiers-energies-sur-le-territoire-du-morbihan/,Morbihan énergies,2023-03-29,2023-03-29,2470,5463,0
Liste des marchés publics passés en 2017 par le département du Finistère,https://www.data.gouv.fr/datasets/liste-des-marches-publics-passes-en-2017-par-le-departement-du-finistere/,Conseil départemental du Finistère,2025-01-02,2018-11-27,2469,1297,0
Fréquentation des expositions du Musée départemental breton,https://www.data.gouv.fr/datasets/frequentation-des-expositions-du-musee-departemental-breton/,Conseil départemental du Finistère,2024-12-19,2018-11-27,2469,1909,0
Bureaux de vote Bourges,https://www.data.gouv.fr/datasets/bureaux-de-vote-bourges/,Communauté d'Agglomération de Bourges,2022-04-07,2022-04-06,2468,4158,0
Hackaviz Numérique Responsable - Enquête Sobriété numérique,https://www.data.gouv.fr/datasets/hackaviz-numerique-responsable-enquete-sobriete-numerique/,Conseil départemental du Finistère,2024-12-31,2023-06-13,2462,633,0
Resultats Election Presidentielle 2e Tour - 2022 - Ville de Bourges,https://www.data.gouv.fr/datasets/resultats-election-presidentielle-2e-tour-2022-ville-de-bourges/,Communauté d'Agglomération de Bourges,2022-04-25,2022-04-24,2462,3309,0
Bilan des émissions de gaz à effet de serre du Département du Finistère,https://www.data.gouv.fr/datasets/bilan-des-emissions-de-gaz-a-effet-de-serre-du-departement-du-finistere/,Conseil départemental du Finistère,2024-09-30,2021-07-01,2460,1510,0
Montants des prestations Personnes Handicapées versées par le Conseil Départemental du Finistère,https://www.data.gouv.fr/datasets/montants-des-prestations-personnes-handicapees-versees-par-le-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2025-01-02,2020-12-09,2450,1644,0
"Convention de subventions attribuées par le Conseil départemental de la Mayenne, depuis 2017",https://www.data.gouv.fr/datasets/convention-de-subventions-attribuees-par-le-conseil-departemental-de-la-mayenne-depuis-2017/,Le Conseil Départemental de la Mayenne,2025-07-17,2023-05-02,2436,5911,0
Membres du groupement d'achat gaz,https://www.data.gouv.fr/datasets/membres-du-groupement-dachat-gaz/,Morbihan énergies,2019-01-04,2019-01-04,2419,4581,0
Resultats Election Législative 2eme Tour - 2022 - Ville de Bourges - 2eme Circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-2eme-tour-2022-ville-de-bourges-2eme-circonscription/,Communauté d'Agglomération de Bourges,2022-06-20,2022-06-19,2409,4788,0
Nombre de bénéficiaires des prestations Personnes Handicapées versées par le Conseil Départemental du Finistère,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-des-prestations-personnes-handicapees-versees-par-le-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2405,1524,0
Effectifs des agents du département du Finistère répartis par filière,https://www.data.gouv.fr/datasets/effectifs-des-agents-du-departement-du-finistere-repartis-par-filiere/,Conseil départemental du Finistère,2024-10-03,2018-11-27,2405,1691,0
Nombre d’évaluations des situations familiales réalisées par le Conseil départemental du Finistère,https://www.data.gouv.fr/datasets/nombre-devaluations-des-situations-familiales-realisees-par-le-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2391,1442,0
"Bénéficiaires du revenu de solidarité active (RSA) par EPCI du département du Finistère, titulaires d'un contrat",https://www.data.gouv.fr/datasets/beneficiaires-du-revenu-de-solidarite-active-rsa-par-epci-du-departement-du-finistere-titulaires-dun-contrat/,Conseil départemental du Finistère,2024-09-30,2018-11-27,2379,1226,0
IRVE formt geoparquet 20231222,https://www.data.gouv.fr/datasets/irve-formt-geoparquet-20231222/,icem7,2024-01-09,2023-12-23,2369,414,0
Réexposition des données Finess,https://www.data.gouv.fr/datasets/reexposition-des-donnees-finess/,data.gouv.fr,2025-09-10,2025-03-26,2363,9132,0
Fiches Actions PVD Bracieux,https://www.data.gouv.fr/datasets/fiches-actions-pvd-bracieux/,Communauté de communes du Grand Chambord ,2025-03-20,2023-12-21,2361,7027,0
Montants des prestations Personnes Âgées versées par le Conseil Départemental du Finistère,https://www.data.gouv.fr/datasets/montants-des-prestations-personnes-agees-versees-par-le-conseil-departemental-du-finistere/,Conseil départemental du Finistère,2025-01-02,2020-12-09,2348,1530,0
Paris 2024 - Calendrier des sessions [Version simplifiée ENG],https://www.data.gouv.fr/datasets/paris-2024-calendrier-des-sessions-version-simplifiee-eng/,Paris 2024,2024-07-30,2024-07-30,2348,5583,0
Budget Ville de Bourges - 2024,https://www.data.gouv.fr/datasets/budget-ville-de-bourges-2024/,Communauté d'Agglomération de Bourges,2025-09-12,2024-07-10,2329,9481,0
Budget Bourges Plus - 2023,https://www.data.gouv.fr/datasets/budget-bourges-plus-2023/,Communauté d'Agglomération de Bourges,2024-05-06,2024-04-10,2315,3465,0
Saisines du médiateur du Conseil départemental de la Mayenne depuis 2016,https://www.data.gouv.fr/datasets/saisines-du-mediateur-du-conseil-departemental-de-la-mayenne-depuis-2016/,Le Conseil Départemental de la Mayenne,2024-07-30,2023-10-15,2314,4076,0
Compte administratif du département du Finistère,https://www.data.gouv.fr/datasets/compte-administratif-du-departement-du-finistere/,Conseil départemental du Finistère,2024-10-01,2018-11-27,2314,1608,0
"Annuaire Santé : Liste, localisation et tarifs des professionnels de santé",https://www.data.gouv.fr/datasets/annuaire-sante-liste-localisation-et-tarifs-des-professionnels-de-sante-1/,Fleury-sur-Orne,2019-10-05,2019-10-05,2310,4364,0
Recensement de la population communal et Filosofi depuis 2015 - France métropolitaine ,https://www.data.gouv.fr/datasets/recensement-de-la-population-communal-et-filosofi-depuis-2015-france-metropolitaine/,,2024-11-04,2024-11-04,2296,201,0
Liste des oeuvres exposées au Musée départemental breton,https://www.data.gouv.fr/datasets/liste-des-oeuvres-exposees-au-musee-departemental-breton/,Conseil départemental du Finistère,2025-01-02,2018-11-27,2288,1168,0
Budget Ville de Bourges - De 2018 à 2023,https://www.data.gouv.fr/datasets/budget-ville-de-bourges-de-2018-a-2023/,Communauté d'Agglomération de Bourges,2024-07-02,2021-09-21,2288,4661,0
Nombre de mesures judiciaires d’investigation éducative décidées dans le Finistère,https://www.data.gouv.fr/datasets/nombre-de-mesures-judiciaires-dinvestigation-educative-decidees-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2285,666,0
Résultats Election Législative 1er Tour - 2024 - Ville de Bourges - 2eme circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-1er-tour-2024-ville-de-bourges-2eme-circonscription/,Communauté d'Agglomération de Bourges,2024-07-01,2024-07-01,2283,9704,0
Budget Bourges Plus - 2024,https://www.data.gouv.fr/datasets/budget-bourges-plus-2024/,Communauté d'Agglomération de Bourges,2024-05-06,2024-04-10,2279,3771,0
Points de localisation (PLO) du graphe routier du département de la Mayenne,https://www.data.gouv.fr/datasets/points-de-localisation-plo-du-graphe-routier-du-departement-de-la-mayenne/,Le Conseil Départemental de la Mayenne,2025-09-01,2024-06-07,2251,5690,0
Paris 2024 - Voies Olympiques et Paralympiques,https://www.data.gouv.fr/datasets/paris-2024-voies-olympiques-et-paralympiques/,Paris 2024,2024-10-01,2024-10-01,2213,6897,0
Filaire voiries Toulouse métropole format geoparquet,https://www.data.gouv.fr/datasets/filaire-voiries-toulouse-metropole-format-geoparquet/,icem7,2023-12-19,2023-11-21,2208,278,0
Données climatologiques quotidiennes de base de toutes les stations du département 75 pour 2023 et 2024,https://www.data.gouv.fr/datasets/donnees-climatologiques-quotidiennes-de-base-de-toutes-les-stations-du-departement-75-pour-2023-et-2024/,,2024-04-09,2024-04-09,2204,181,0
Base Fantoir - avril 2023 - format parquet,https://www.data.gouv.fr/datasets/base-fantoir-avril-2023-format-parquet/,icem7,2023-09-29,2023-09-29,2200,750,0
Réseau et coordination des politiques Jeunesse dans le Finistère,https://www.data.gouv.fr/datasets/reseau-et-coordination-des-politiques-jeunesse-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2177,607,0
Filaire du graphe routier du département de la Mayenne,https://www.data.gouv.fr/datasets/filaire-du-graphe-routier-du-departement-de-la-mayenne/,Le Conseil Départemental de la Mayenne,2025-09-01,2024-06-07,2171,5334,0
Communes 2023 format parquet,https://www.data.gouv.fr/datasets/communes-2023-format-parquet/,icem7,2024-01-22,2024-01-12,2167,475,0
Nombre de bénéficiaires d’une allocation Jeune Majeur dans le Finistère,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-dune-allocation-jeune-majeur-dans-le-finistere/,Conseil départemental du Finistère,2025-01-03,2020-12-09,2119,1836,0
Liste bâtiments par compétence,https://www.data.gouv.fr/datasets/liste-batiments-par-competence/,Communauté de communes du Grand Chambord ,2022-11-29,2023-09-21,2118,5636,0
Equipements recevant du public - Ville de Lorient,https://www.data.gouv.fr/datasets/equipements-recevant-du-public-ville-de-lorient/,Ville de Lorient,2025-09-01,2025-09-01,2115,6106,0
Resultats Election Législative 2eme Tour - 2022 - Ville de Bourges - 1ere Circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-2eme-tour-2022-ville-de-bourges-1ere-circonscription/,Communauté d'Agglomération de Bourges,2022-06-20,2022-06-19,2112,2923,0
Compteurs de trafic routier sur les routes départementales,https://www.data.gouv.fr/datasets/compteurs-de-trafic-routier-sur-les-routes-departementales/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,2108,1425,0
Budget Bourges Plus - De 2018 à 2022,https://www.data.gouv.fr/datasets/budget-bourges-plus-de-2018-a-2022/,Communauté d'Agglomération de Bourges,2023-07-24,2021-09-22,2108,5774,0
Nomenclature communale des catégories d'espace 2024,https://www.data.gouv.fr/datasets/nomenclature-communale-des-categories-despace-2024/,icem7,2025-01-08,2025-01-08,2094,173,0
Paris 2024 - Périmètres de sécurité,https://www.data.gouv.fr/datasets/paris-2024-perimetres-de-securite/,Paris 2024,2024-10-01,2024-10-01,2075,4962,0
Resultats Election Législative 1er Tour - 2022 - Ville de Bourges - 3eme Circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-1er-tour-2022-ville-de-bourges-3eme-circonscription/,Communauté d'Agglomération de Bourges,2022-06-13,2022-06-12,2056,4158,0
Résultats Elections Européennes - 2024 - Ville de Bourges,https://www.data.gouv.fr/datasets/resultats-elections-europeennes-2024-ville-de-bourges/,Communauté d'Agglomération de Bourges,2024-06-04,2024-06-09,2051,4068,0
Prénoms donnés à Bourges entre 2017 et 2024,https://www.data.gouv.fr/datasets/prenoms-donnes-a-bourges-entre-2017-et-2024/,Communauté d'Agglomération de Bourges,2025-03-10,2018-02-05,2049,4583,0
"LEGI: Codes, lois et règlements consolidés vectorisés",https://www.data.gouv.fr/datasets/legi-codes-lois-et-reglements-consolides-vectorises/,Direction interministérielle du numérique,2025-09-15,2025-07-25,2040,1046,0
Évolution des mesures d’accompagnement et de développement éducatif à domicile dans le Finistère,https://www.data.gouv.fr/datasets/evolution-des-mesures-daccompagnement-et-de-developpement-educatif-a-domicile-dans-le-finistere/,Conseil départemental du Finistère,2024-12-20,2020-12-09,2037,1699,0
Données climatologiques quotidiennes de base de toutes les stations du département 75 entre 1950 et 2022,https://www.data.gouv.fr/datasets/donnees-climatologiques-quotidiennes-de-base-de-toutes-les-stations-du-departement-75-entre-1950-et-2022/,,2024-04-09,2024-04-09,2032,162,0
Limitations de vitesse sur les routes départementales,https://www.data.gouv.fr/datasets/limitations-de-vitesse-sur-les-routes-departementales/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,2016,1636,0
Budget Primitif 2019 décliné par Grand Engagement,https://www.data.gouv.fr/datasets/budget-primitif-2019-decline-par-grand-engagement/,Conseil départemental du Finistère,2024-10-01,2019-07-05,2001,690,0
Sit@del2 - Surface de locaux commencés par type en date réelle - Millésimé,https://www.data.gouv.fr/datasets/sit-del2-surface-de-locaux-commences-par-type-en-date-reelle-millesime/,Fleury-sur-Orne,2022-06-20,2022-06-20,1995,2504,0
Subventions de la Ville de Bourges de 2018 à 2020,https://www.data.gouv.fr/datasets/subventions-de-la-ville-de-bourges-de-2018-a-2020/,Communauté d'Agglomération de Bourges,2021-05-11,2021-05-10,1994,3329,0
Paris 2024 - Zones de dépose reprise accrédités et spectateurs,https://www.data.gouv.fr/datasets/paris-2024-zones-de-depose-reprise-accredites-et-spectateurs/,Paris 2024,2024-10-01,2024-10-01,1980,6357,0
Resultats Election Presidentielle 1er Tour - 2022 - Ville de Bourges,https://www.data.gouv.fr/datasets/resultats-election-presidentielle-1er-tour-2022-ville-de-bourges/,Communauté d'Agglomération de Bourges,2022-04-11,2022-04-10,1963,4257,0
Kit de lissage par fenêtre mobile avec la grille H3 de niveau 7 - France métropolitaine,https://www.data.gouv.fr/datasets/kit-de-lissage-par-fenetre-mobile-avec-la-grille-h3-de-niveau-7-france-metropolitaine/,icem7,2024-07-11,2024-07-11,1949,748,0
Résultats Election législative 2ème Tour - 2024 - Ville de Bourges - 2eme circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-2eme-tour-2024-ville-de-bourges-2eme-circonscription/,Communauté d'Agglomération de Bourges,2024-07-08,2024-07-07,1940,3692,0
Sections de routes départementales selon le trafic,https://www.data.gouv.fr/datasets/sections-de-routes-departementales-selon-le-trafic/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,1938,1994,0
Entreprises du bassin de vie du collège de Bracieux accueillant des collégiens en stage d'observation - CC Grand Chambord (2022-2023),https://www.data.gouv.fr/datasets/entreprises-du-bassin-de-vie-du-college-de-bracieux-accueillant-des-collegiens-en-stage-dobservation-cc-grand-chambord-2022-2023/,Communauté de communes du Grand Chambord ,2022-11-29,2023-10-18,1924,5825,0
Résultats Election législative 1er Tour - 2024 - Ville de Bourges - 3eme circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-1er-tour-2024-ville-de-bourges-3eme-circonscription/,Communauté d'Agglomération de Bourges,2024-07-01,2024-07-01,1906,5224,0
Grands Projets votés en 2019,https://www.data.gouv.fr/datasets/grands-projets-votes-en-2019/,Conseil départemental du Finistère,2024-12-19,2019-07-05,1900,910,0
Paris 2024 - Zones de dépose reprise spectateurs,https://www.data.gouv.fr/datasets/paris-2024-zones-de-depose-reprise-spectateurs/,Paris 2024,2024-09-11,2024-09-11,1888,6747,0
Résultats Election législative 2ème Tour - 2024 - Ville de Bourges - 3eme circonscription,https://www.data.gouv.fr/datasets/resultats-election-legislative-2eme-tour-2024-ville-de-bourges-3eme-circonscription/,Communauté d'Agglomération de Bourges,2024-07-08,2024-07-07,1878,3109,0
Les établissements d'enseignement supérieur sur Bourges Plus,https://www.data.gouv.fr/datasets/les-etablissements-denseignement-superieur-sur-bourges-plus/,Communauté d'Agglomération de Bourges,2021-02-25,2021-02-24,1857,2714,0
Limitations de hauteur sur les routes départementales,https://www.data.gouv.fr/datasets/limitations-de-hauteur-sur-les-routes-departementales/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,1855,1823,0
Hackaviz Numérique Responsable - Enquête Streaming,https://www.data.gouv.fr/datasets/hackaviz-numerique-responsable-enquete-streaming/,Conseil départemental du Finistère,2024-12-31,2023-06-13,1852,571,0
Demande de valeurs foncières,https://www.data.gouv.fr/datasets/demande-de-valeurs-foncieres/,Fleury-sur-Orne,2025-09-14,2025-09-14,1835,4327,0
"Nombre de logements rénovés énergétiquement dans le cadre de l'OPAH (Opération Programmée d'Amélioration de l'Habitat), par commune",https://www.data.gouv.fr/datasets/nombre-de-logements-renoves-energetiquement-dans-le-cadre-de-lopah-operation-programmee-damelioration-de-lhabitat-par-commune/,Communauté de communes du Grand Chambord ,2023-01-23,2023-09-22,1833,6728,0
Limitations de largeur sur les routes départementales,https://www.data.gouv.fr/datasets/limitations-de-largeur-sur-les-routes-departementales/,Le Conseil Départemental de la Mayenne,2025-09-01,2025-09-01,1815,1784,0
Hébergements Touristiques du Grand Chambord (+Muides),https://www.data.gouv.fr/datasets/hebergements-touristiques-du-grand-chambord-muides/,Communauté de communes du Grand Chambord ,2024-01-26,2023-02-16,1811,6456,0
