title,page,organization_name,last_modified,created_at,metrics_views,metrics_resources_downloads,metrics_discussions
Elections législatives des 11 et 18 juin 2017 - Résultats du 2nd tour,https://www.data.gouv.fr/datasets/elections-legislatives-des-11-et-18-juin-2017-resultats-du-2nd-tour-1/,Fleury-sur-Orne,2018-05-29,2018-05-29,423,1184,0
Population : Données Carroyées à 200 mètres - 2010,https://www.data.gouv.fr/datasets/population-donnees-carroyees-a-200-metres-2010/,Fleury-sur-Orne,2019-04-25,2019-04-25,419,1750,0
Achats de produits phytosanitaires estimés à l'échelle de la commune,https://www.data.gouv.fr/datasets/achats-de-produits-phytosanitaires-estimes-a-lechelle-de-la-commune/,Service des données et études statistiques (SDES),2025-08-13,2025-08-13,417,143,0
Batiments,https://www.data.gouv.fr/datasets/batiments-8/,Fleury-sur-Orne,2025-09-14,2025-09-14,413,1625,0
Rapports d'activité du centre socioculturel,https://www.data.gouv.fr/datasets/rapports-dactivite-du-centre-socioculturel/,Fleury-sur-Orne,2018-06-08,2018-06-08,407,1462,0
Réseaux sociaux,https://www.data.gouv.fr/datasets/reseaux-sociaux/,Fleury-sur-Orne,2018-06-01,2018-06-01,405,1130,0
Population couverte par au moins une prestation (NCT),https://www.data.gouv.fr/datasets/population-couverte-par-au-moins-une-prestation-nct/,Fleury-sur-Orne,2019-04-25,2019-04-25,405,1115,0
Commerces ouverts de première nécessité pendant le confinement - Covid-19,https://www.data.gouv.fr/datasets/commerces-ouverts-de-premiere-necessite-pendant-le-confinement-covid-19/,Fleury-sur-Orne,2020-04-13,2020-04-13,403,990,0
Recyclage de papiers,https://www.data.gouv.fr/datasets/recyclage-de-papiers/,Fleury-sur-Orne,2019-04-02,2019-04-02,403,1571,0
"Population active de 15 ans ou plus ayant un emploi par sexe, lieu de travail et moyen de transport  - 2016",https://www.data.gouv.fr/datasets/population-active-de-15-ans-ou-plus-ayant-un-emploi-par-sexe-lieu-de-travail-et-moyen-de-transport-2016-1/,Fleury-sur-Orne,2019-06-29,2019-06-29,396,1017,0
Statistiques restaurant scolaire,https://www.data.gouv.fr/datasets/statistiques-restaurant-scolaire/,Fleury-sur-Orne,2019-03-07,2019-03-07,395,1134,0
Equipements municipaux,https://www.data.gouv.fr/datasets/equipements-municipaux/,Fleury-sur-Orne,2018-06-01,2018-06-01,386,3063,0
Bulletins municipaux,https://www.data.gouv.fr/datasets/bulletins-municipaux/,Fleury-sur-Orne,2018-06-10,2018-06-10,384,1412,0
Statistiques des visites du site web de l'Espace Public Numérique (EPN),https://www.data.gouv.fr/datasets/statistiques-des-visites-du-site-web-de-lespace-public-numerique-epn/,Fleury-sur-Orne,2018-06-01,2018-06-01,379,1755,0
Parkings à vélo,https://www.data.gouv.fr/datasets/parkings-a-velo/,Fleury-sur-Orne,2025-09-14,2025-09-14,369,2862,0
Elections législatives des 11 et 18 juin 2017 - Résultats du 1er tour,https://www.data.gouv.fr/datasets/elections-legislatives-des-11-et-18-juin-2017-resultats-du-1er-tour-1/,Fleury-sur-Orne,2018-05-29,2018-05-29,361,1167,0
Coopérations internationales,https://www.data.gouv.fr/datasets/cooperations-internationales/,Fleury-sur-Orne,2018-07-12,2018-07-12,356,3046,0
Bornes de recharge électrique,https://www.data.gouv.fr/datasets/bornes-de-recharge-electrique-3/,Fleury-sur-Orne,2018-06-17,2018-06-17,353,2555,0
Organisation du temps scolaire,https://www.data.gouv.fr/datasets/organisation-du-temps-scolaire-2/,Fleury-sur-Orne,2021-01-17,2021-01-17,333,1070,0
Professionnels de santé et de bien-être,https://www.data.gouv.fr/datasets/professionnels-de-sante-et-de-bien-etre/,Fleury-sur-Orne,2018-06-10,2018-06-10,318,1105,0
Statistiques sur les inscriptions aux services périscolaires par âge et par sexe,https://www.data.gouv.fr/datasets/statistiques-sur-les-inscriptions-aux-services-periscolaires-par-age-et-par-sexe/,Fleury-sur-Orne,2019-03-07,2019-03-07,304,1521,0
